id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41767255,Tolle 2 Zimmer nebenan im Herzen von München.,48576117,Natalia,,Schwabing-West,48.16481,11.57501,Private room,35,2,1,2020-01-27,0.11,1,12
41767641,Nice & Cozy apartment close to a beautiful park,114989822,Ahsan,,Laim,48.13,11.5113,Entire home/apt,91,5,1,2020-02-15,0.12,1,89
41809383,Geräumiges Zimmer neben dem Englischen Garten,97853784,Dominik,,Bogenhausen,48.17351,11.62948,Private room,40,2,1,2020-02-04,0.11,1,89
41819270,Comfy central and light home with lots of plants,122967407,Eileen,,Schwabing-Freimann,48.16371,11.58292,Entire home/apt,75,4,1,2020-10-09,1,1,178
41825475,Gemütliche 1 Zimmer Wohnung Nähe Messe,28031300,Melanie,,Bogenhausen,48.14128,11.64441,Entire home/apt,95,1,0,,,1,298
41854270,Oktoberfest Exclusive Floor for 7 people,330863797,Louis,,Bogenhausen,48.15495,11.61397,Private room,490,2,0,,,1,298
41855593,Tow Bedroom 7Min. from Central Station,165625001,Mary,,Ludwigsvorstadt-Isarvorstadt,48.13573,11.5577,Entire home/apt,110,1,0,,,5,124
41856368,Zimmer in zentraler Dachgeschoßwohnung in München,19884581,Benny,,Neuhausen-Nymphenburg,48.15888,11.54088,Private room,50,1,3,2020-02-20,0.34,1,38
41858540,Tiny Apartment + small Garden close to Subway,114848881,Stephan,,Milbertshofen-Am Hart,48.18203,11.57753,Entire home/apt,45,3,3,2020-08-10,0.35,1,76
41865241,"Cozy small apartment in  ""bayrische"" München !",331063598,Roukaya,,Schwabing-West,48.16206,11.57366,Entire home/apt,80,1,0,,,1,88
41919157,Madream,312015191,MASEVEN München Messe Dornach,,Tudering-Riem,48.14434,11.68429,Private room,100,1,0,,,3,365
41922423,Your best impression about Munich,43840139,Mandy,,Ludwigsvorstadt-Isarvorstadt,48.12868,11.56064,Entire home/apt,41,2,1,2020-06-18,0.23,1,27
41929743,Artistic apartment near city center,52570399,Intila,,Laim,48.1353,11.5168,Entire home/apt,73,3,3,2020-10-17,1.27,1,84
41930145,Süße Wohnung in Haidhausen!,1347748,Masiel,,Au-Haidhausen,48.12869,11.60052,Entire home/apt,55,2,2,2020-02-17,0.24,1,83
41934284,Topfloor flat located close to the city center,331780357,Maximilian,,Maxvorstadt,48.14938,11.55577,Private room,43,1,56,2020-10-24,6.20,2,83
41948010,Charming room in the heart of Munchen.Centar 10min,252316491,Majkl,,Obergiesing,48.11447,11.58174,Private room,33,1,15,2020-08-28,1.74,1,298
41948943,Modern room with huge bathroom for city trip,21584256,Christian,,Aubing-Lochhausen-Langwied,48.15647,11.43344,Private room,50,1,10,2020-09-09,1.30,1,359
41971928,Majestic,312015191,MASEVEN München Messe Dornach,,Tudering-Riem,48.14417,11.68392,Private room,123,1,0,,,3,365
41972157,"Gemütliche, ruhige Wohnung mit viel Licht",332257476,Alexander,,Neuhausen-Nymphenburg,48.16558,11.51606,Entire home/apt,69,1,6,2020-03-01,0.68,1,0
41979081,Private room in modern flat,198163138,Edu,,Maxvorstadt,48.14925,11.54978,Private room,83,2,0,,,1,89
41988036,Rablstrasse,2756864,Jennifer,,Au-Haidhausen,48.12789,11.59097,Entire home/apt,87,30,1,2020-10-10,1,1,323
42019722,Nice large centrally located room,21219033,Boris,,Neuhausen-Nymphenburg,48.1538,11.53585,Private room,40,2,1,2020-08-23,0.46,1,9
42019792,Gemütliche 2 Zi-Whg in Sendl. zu vermieten,105847657,Conni,,Sendling,48.1133,11.5442,Entire home/apt,55,10,0,,,1,83
42043986,Großes Zimmer mit Balkon in Prinzregentenstraße,203238279,Oli,,Au-Haidhausen,48.1376,11.61821,Private room,50,1,2,2020-02-23,0.23,1,113
42046818,Unsere Design-Suite im Herzen der Stadt,326262786,One,,Schwabing-West,48.16409,11.56417,Entire home/apt,56,180,0,,,1,358
42060999,English Garden apartment,4346302,Katarina,,Schwabing-Freimann,48.16521,11.60125,Entire home/apt,111,2,1,2020-10-10,1,1,90
42071141,Oktoberfest in 5 Minuten by foot,326506940,Leni,,Schwanthalerhöhe,48.13612,11.54292,Private room,150,1,0,,,2,268
42107985,TIMEHOUSE Smart Studio,307125453,Timehouse,,Schwabing-Freimann,48.17547,11.58585,Private room,129,1,1,2020-02-22,0.12,7,309
42112326,Munich at Its best : Green and the city,40452921,Dorsaf,,Bogenhausen,48.16834,11.64765,Private room,90,1,0,,,1,90
42126966,APARTMENT WITH ROOFTOP TERRACE - GREAT LOCATION!,334225337,Bjoern,,Sendling-Westpark,48.13335,11.5234,Entire home/apt,65,30,4,2020-03-27,0.48,1,66
42126991,Zwei Zimmer Wohnung nahe Innenstadt,330342629,Philipp,,Obergiesing,48.11386,11.57999,Entire home/apt,83,2,6,2020-10-04,0.72,1,23
42155339,"Dream placein Central Train Station,Munich,Germany",125628424,Jahangir Alam,,Ludwigsvorstadt-Isarvorstadt,48.13552,11.56032,Entire home/apt,150,3,3,2020-03-18,0.36,1,90
42156868,-10%🎖DELUXXE Central walk to Main Train Station,51898547,James,,Ludwigsvorstadt-Isarvorstadt,48.13647,11.5607,Entire home/apt,86,2,2,2020-03-12,0.25,7,5
42163064,Studio Appartment in the Heart of Munich,101542414,Benjamin,,Milbertshofen-Am Hart,48.18219,11.57445,Entire home/apt,65,1,0,,,1,173
42169542,Spacious&cozy home in peaceful area of downtwn MUN,41065809,Samy,,Sendling-Westpark,48.12113,11.52019,Private room,30,1,3,2020-08-07,0.40,1,90
42185646,"Feelgood appartment in city center ""Schwabing""",18077988,Jasmin,,Schwabing-Freimann,48.15547,11.58495,Entire home/apt,70,2,1,2020-02-22,0.12,1,89
42211504,Comfort Single Apartment zum Innenhof,175608026,Tomi,,Moosach,48.17979,11.53233,Entire home/apt,38,30,0,,,18,352
42212047,Business Single Apartment,175608026,Tomi,,Moosach,48.17828,11.53385,Entire home/apt,36,30,0,,,18,339
42212337,Comfort Single Apartment zum Innenhof,175608026,Tomi,,Moosach,48.17832,11.53281,Entire home/apt,37,30,0,,,18,0
42214707,Business Single Apartment,175608026,Tomi,,Moosach,48.1791,11.53365,Entire home/apt,36,30,0,,,18,360
42216839,"Riverside flat, also for a pleasant long stay",40666632,Yasamin,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10267,11.54945,Entire home/apt,60,2,9,2020-10-10,2.18,1,44
